scene,outfit,pose,location,camera,category,emotion,lighting
mirror selfie,white crop top and high-waisted jeans,peace sign,bedroom with string lights,close-up eye level front-facing,casual,playful smile,warm ambient
outdoor portrait,floral sundress,hand in hair wind-blown,garden with blooming flowers,medium shot slightly below eye level,lifestyle,relaxed and confident,golden hour sunlight
coffee shop candid,oversized knit sweater and skirt,holding a latte looking out window,cozy cafe with exposed brick,medium shot from side,lifestyle,thoughtful dreamy gaze,soft diffused window light
beach golden hour,bikini top and sarong wrap,walking along shoreline looking back over shoulder,tropical beach at sunset,full body from behind at angle,beach,carefree laughing,warm golden sunset
gym mirror selfie,sports bra and leggings,flexing with one hand on hip,modern gym with mirrors,close-up eye level,fitness,determined focused expression,bright overhead gym lighting
rooftop evening,little black dress and heels,leaning on railing looking at camera,city rooftop at dusk with skyline,medium shot,evening,sultry confident smile,twilight blue hour with city lights
reading nook,oversized t-shirt and shorts,curled up reading a book,window seat with cushions and blankets,medium close-up from side,cozy,peaceful content expression,soft natural daylight from window
street style,leather jacket crop top and jeans,walking confidently down sidewalk,urban street with graffiti walls,full body front-facing,street,bold self-assured expression,overcast even lighting
poolside lounge,one-piece swimsuit,lying on pool lounger with sunglasses,luxury pool with palm trees,medium shot from above,pool,relaxed sun-kissed expression,bright midday sun
brunch table,off-shoulder top and high-waisted pants,sitting at table with mimosa laughing,trendy restaurant patio,close-up candid,dining,genuine laughing mid-conversation,bright diffused patio shade
